종목코드,종목명,종가,대비,등락률,상장시가총액
"000990","DB하이텍","36600","-550","-1.48","1624988.0"
"047040","대우건설","4000","-180","-4.31","1662491.0"
"010120","LS ELECTRIC","55100","-1300","-2.30","1653000.0"
"006360","GS건설","20050","-1100","-5.20","1715909.0"
"005300","롯데칠성","169500","-6500","-3.69","1572771.0"
"298050","효성첨단소재","329000","-4500","-1.35","1473903.0"
"042670","현대두산인프라코어","7450","-550","-6.88","1473337.0"
"006280","녹십자","127000","-2500","-1.93","1484190.0"
"000240","한국앤컴퍼니","13900","-50","-0.36","1319600.0"
"004000","롯데정밀화학","54000","-2700","-4.76","1393200.0"
"004800","효성","65600","-1500","-2.24","1382259.0"
"298020","효성티앤씨","329500","-20500","-5.86","1425971.0"
"051600","한전KPS","31900","-1300","-3.92","1435500.0"
"069960","현대백화점","57900","-1100","-1.86","1355001.0"
"011210","현대위아","50400","950","1.92","1370632.0"
"000150","두산","76800","-6300","-7.58","1269031.0"
"000210","DL","57200","-2000","-3.38","1198677.0"
"375500","DL이앤씨","32250","-1500","-4.44","1247869.0"
"114090","GKL","18750","-150","-0.79","1159794.0"
"285130","SK케미칼","73200","0","0.00","1262977.0"
"001120","LX인터내셔널","32550","-1400","-4.12","1261638.0"
"000670","영풍","584000","-21000","-3.47","1075751.0"
"001230","동국제강","10750","-400","-3.59","1025902.0"
"003090","대웅","19700","-650","-3.19","1145397.0"
"005850","에스엘","23750","800","3.49","1103152.0"
"006650","대한유화","165000","-6500","-3.79","1072500.0"
"009240","한샘","43050","-1550","-3.48","1013136.0"
"280360","롯데제과","119500","-3000","-2.45","1127432.0"
"017800","현대엘리베이","26600","-1700","-6.01","1085684.0"
"019170","신풍제약","20500","-650","-3.07","1086192.0"
"020560","아시아나항공","13600","-400","-2.86","1012000.0"
"093370","후성","10600","-100","-0.93","1000132.0"
"120110","코오롱인더","40050","-1100","-2.67","1102140.0"
"271940","일진하이솔루스","29050","-800","-2.68","1054898.0"
"014820","동원시스템즈","38750","-1850","-4.56","1123412.0"
"001740","SK네트웍스","3825","-45","-1.16","949318.0"
"001800","오리온홀딩스","14950","-400","-2.61","936549.0"
"009420","한올바이오파마","17600","-200","-1.12","919435.0"
"031430","신세계인터내셔날","24250","-500","-2.02","865725.0"
"032350","롯데관광개발","13550","-900","-6.23","980107.0"
"192080","더블유게임즈","46300","-950","-2.01","850739.0"
"103140","풍산","32950","-700","-2.08","923400.0"
"161890","한국콜마","40850","-1750","-4.11","934696.0"
"178920","PI첨단소재","28900","0","0.00","848687.0"
"185750","종근당","80400","-1700","-2.07","963838.0"
"039130","하나투어","59500","-1000","-1.65","954332.0"
"001680","대상","21450","-450","-2.05","743200.0"
"003240","태광산업","742000","-4000","-0.54","826143.0"
"005250","녹십자홀딩스","16600","-400","-2.35","780668.0"
"009900","명신산업","14450","100","0.70","758193.0"
"300720","한일시멘트","11200","-450","-3.86","775729.0"
"016380","KG스틸","7150","-240","-3.25","715064.0"
"069260","TKG휴켐스","19100","-900","-4.50","780781.0"
"073240","금호타이어","2775","-5","-0.18","797147.0"
"192820","코스맥스","73700","-400","-0.54","836459.0"
"010780","아이에스동서","26800","-1400","-4.96","827922.0"
"003850","보령","8960","-100","-1.10","615462.0"
"004490","세방전지","42250","-100","-0.24","591500.0"
"005440","현대그린푸드","6540","-190","-2.82","638987.0"
"013890","지누스","34550","-450","-1.29","653018.0"
"381970","케이카","11200","-350","-3.03","538569.0"
"057050","현대홈쇼핑","51400","-2500","-4.64","616800.0"
"105630","한세실업","14750","-650","-4.22","590000.0"
"284740","쿠쿠홈시스","29250","-150","-0.51","656292.0"
"294870","HDC현대산업개발","9710","-290","-2.90","639960.0"
"020000","한섬","26000","-1050","-3.88","640380.0"
"241590","화승엔터프라이즈","8840","-390","-4.23","535609.0"
