종목코드,종목명,종가,대비,등락률,상장시가총액
"139130","DGB금융지주","8410","-80","-0.94","1422516.0"
"145720","덴티움","141500","10500","8.02","1566239.0"
"298020","효성티앤씨","360000","-5000","-1.37","1557966.0"
"336260","두산퓨얼셀","23450","250","1.08","1535828.0"
"069620","대웅제약","117400","600","0.51","1360264.0"
"001740","SK네트웍스","5600","-150","-2.61","1320358.0"
"161890","한국콜마","53500","-100","-0.19","1224143.0"
"375500","DL이앤씨","35250","-800","-2.22","1363950.0"
"001440","대한전선","10260","180","1.79","1276829.0"
"005300","롯데칠성","147200","600","0.41","1365852.0"
"192820","코스맥스","122900","-3500","-2.77","1394855.0"
"004800","효성","62400","-900","-1.42","1314832.0"
"006360","GS건설","14730","-290","-1.93","1260615.0"
"000210","DL","50100","-1300","-2.53","1049890.0"
"009240","한샘","51500","-2000","-3.74","1211997.0"
"001120","LX인터내셔널","28550","-850","-2.89","1106598.0"
"285130","SK케미칼","67200","-100","-0.15","1159454.0"
"120110","코오롱인더","44000","-500","-1.12","1210840.0"
"103140","풍산","38900","-300","-0.77","1090144.0"
"093370","후성","12020","40","0.33","1134112.0"
"069960","현대백화점","51500","-300","-0.58","1205226.0"
"003090","대웅","20600","-50","-0.24","1197725.0"
"280360","롯데웰푸드","122600","-1200","-0.97","1156679.0"
"069260","TKG휴켐스","20950","-550","-2.56","856406.0"
"016380","KG스틸","8930","30","0.34","893079.0"
"014820","동원시스템즈","34300","-200","-0.58","994401.0"
"010780","아이에스동서","28800","-150","-0.52","889707.0"
"009970","영원무역홀딩스","75600","-2400","-3.08","1030851.0"
"009900","명신산업","19120","110","0.58","1003229.0"
"006650","대한유화","152000","-1000","-0.65","988000.0"
"001800","오리온홀딩스","14420","-180","-1.23","903347.0"
"001430","세아베스틸지주","24300","-550","-2.21","871449.0"
"000670","영풍","514000","-2000","-0.39","946809.0"
"300720","한일시멘트","12360","-430","-3.36","856073.0"
"271940","일진하이솔루스","26250","-100","-0.38","953221.0"
"192080","더블유게임즈","48100","550","1.16","874975.0"
"178920","PI첨단소재","30650","150","0.49","900078.0"
"114090","GKL","13520","30","0.22","836289.0"
"019170","신풍제약","13770","250","1.85","729603.0"
"008730","율촌화학","30650","-1050","-3.31","760120.0"
"001680","대상","20500","-250","-1.20","710285.0"
"004490","세방전지","58200","0","0.00","814800.0"
"039130","하나투어","52200","100","0.19","837245.0"
"105630","한세실업","20600","-450","-2.14","824000.0"
"020560","아시아나항공","11300","140","1.25","840853.0"
"005250","녹십자홀딩스","16610","260","1.59","781139.0"
"032350","롯데관광개발","9480","100","1.07","717842.0"
"031430","신세계인터내셔날","17670","-630","-3.44","630819.0"
